BenchName;C++;Mono;plain-C;Vala
binaryTrees;52248;97132;35744;40448
fannkuch;3032;20940;2776;2760
mandelbrot;2984;23012;2860;2900
nBody;3160;22968;2916;2952
nsieve;162756;181820;162324;162384
partialSums;3540;23172;3244;3336
recursive;3488;26336;3260;3168
spectralNorm;3336;22648;2880;3020
sumFile;3068;26808;2768;2952
