BenchName;C++;Mono;plain-C;Vala
mandelbrot;4403;1285;2278;2598
partialSums;3005;1421;5710;6160
recursive;6341;1403;5618;6043
binaryTrees;5564;1466;4574;6000
sumFile;2640;1088;1892;3917
fannkuch;5931;1390;4367;7172
spectralNorm;6288;1416;3936;5612
nsieve;2689;1176;2018;3925
nBody;6068;2197;3712;4994
